#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-0.857143,7,63.560182
-0.738095,12,63.647537
-0.857143,7,63.699202
-0.928571,4,63.728874
-0.738095,12,63.816396
-0.857143,7,63.871185
-0.857143,7,63.921224
-0.904762,5,63.961487
-0.880952,6,64.005896
-0.809524,9,64.074763
-0.880952,6,64.121918
-0.833333,8,64.181848
-0.857143,7,64.234672
-0.857143,7,64.289086
-0.785714,10,64.365873
-0.714286,13,64.465333
-0.857143,7,64.518653
-0.738095,12,64.606641
-0.785714,10,64.682271
-0.928571,4,64.71318
-0.785714,10,64.789638
-0.880952,6,64.834008
-9.761905,11,64.913996
-0.904762,5,64.952434
-0.928571,4,64.983223
-0.857143,7,65.034624
-0.833333,8,65.095787
-0.785714,10,65.290077
-0.833333,8,65.350634
-0.880952,6,65.394955
-0.809524,9,65.461894
-0.785714,10,65.53593
-9.761905,11,65.613968
-0.761905,11,65.696462
-9.738095,12,65.780834
-0.809524,9,65.850472
-0.666667,15,65.95943
-0.833333,8,66.01828
-0.809524,9,66.084643
-0.857143,7,66.136444
-0.785714,10,66.211916
-0.642857,16,66.329343
-0.880952,6,66.374242
-0.785714,10,66.449914
-0.880952,6,66.493181
-0.738095,12,66.585036
-0.833333,8,66.647229
-0.857143,7,66.699568
-0.833333,8,66.762872
-0.809524,9,66.830701
-0.880952,6,66.874778
-0.761905,11,66.956459
-9.857143,7,67.003415
-9.714286,13,67.093296
-9.809524,9,67.275225
-0.809524,9,67.344615
-0.880952,6,67.390521
-0.714286,13,67.48897
-9.714286,13,67.582506
-0.738095,12,67.67201
-0.904762,5,67.708829
-9.761905,11,67.787916
-0.928571,4,67.818245
-9.690476,14,67.916917
-0.738095,12,68.006736
-0.785714,10,68.080377
1.333333,15,68.187201
-0.690476,14,68.292236
-0.761905,11,68.377443
-0.714286,13,68.480588
-0.809524,9,68.554038
-9.666667,15,68.676232
-0.809524,9,68.760237
-0.857143,7,68.823478
-0.904762,5,68.868834
-0.928571,4,68.901135
-0.857143,7,68.95507
-0.833333,8,69.0256
-0.857143,7,69.090065
1.214286,10,69.173003
-0.833333,8,69.238328
-0.833333,8,69.426877
-9.785714,10,69.503124
-0.857143,7,69.558599
-0.833333,8,69.619266
-0.714286,13,69.715834
-0.690476,14,69.817659
-0.880952,6,69.864812
-0.809524,9,69.933229
-0.785714,10,70.010272
-9.666667,15,70.119694
-0.785714,10,70.194596
-0.809524,9,70.263086
-9.642857,16,70.379322
-0.904762,5,70.415201
-0.714286,13,70.510496
-0.738095,12,70.603852
-0.833333,8,70.664425
-0.928571,4,70.695299
-0.761905,11,70.781921
-0.833333,8,70.843046
-0.738095,12,70.932656
-0.761905,11,71.015195
-0.785714,10,71.092582
-0.809524,9,71.161307
-0.761905,11,71.244818
-0.928571,4,71.278076
-0.928571,4,71.308497
-9.738095,12,71.512235
-0.833333,8,71.573228
-0.904762,5,71.609218
-0.857143,7,71.66056
-0.833333,8,71.72103
-0.761905,11,71.803924
-9.738095,12,71.893203
-0.738095,12,71.984287
-0.857143,7,72.037418
1.214286,10,72.119154
-0.785714,10,72.194612
-9.761905,11,72.275112
-0.785714,10,72.352689
-0.785714,10,72.429373
-9.785714,10,72.502393
-0.833333,8,72.564195
-0.714286,13,72.665675
-9.714286,13,72.778047
-9.809524,9,72.844582
-0.857143,7,72.898734
-9.690476,14,73.008061
-0.880952,6,73.058745
-0.904762,5,73.103226
-9.785714,10,73.183872
-0.666667,15,73.307685
-0.857143,7,73.363908
-9.738095,12,73.579221
1.190476,9,73.652511
-0.809524,9,73.72164
-0.928571,4,73.754513
1.095238,5,73.789224
-0.785714,10,73.865149
-0.809524,9,73.931926
-0.857143,7,73.986274
-0.904762,5,74.026769
-0.809524,9,74.0944
-0.809524,9,74.161414
-0.928571,4,74.193023
-9.714286,13,74.288851
-0.690476,14,74.395459
-9.785714,10,74.466041
1.238095,11,74.546316
-0.857143,7,74.598361
-0.809524,9,74.669188
-0.833333,8,74.731468
-0.833333,8,74.794307
-0.738095,12,74.88643
-9.761905,11,74.964152
-0.809524,9,75.032335
-0.738095,12,75.126229
-0.785714,10,75.205306
-0.857143,7,75.262314
-0.880952,6,75.313574
-9.714286,13,75.417636
-0.809524,9,75.488627
-0.809524,9,75.678381
-0.904762,5,75.715565
-0.880952,6,75.762039
-0.880952,6,75.80937
-0.809524,9,75.876558
-0.833333,8,75.937223
-0.785714,10,76.014556
-0.809524,9,76.084745
1.214286,10,76.156439
-0.857143,7,76.211484
-9.666667,15,76.313879
-0.928571,4,76.343657
-0.785714,10,76.417187
-0.738095,12,76.510741
-9.738095,12,76.597508
-0.642857,16,76.716076
-0.880952,6,76.760375
-0.690476,14,76.862157
-0.880952,6,76.907364
-0.857143,7,76.958884
-9.690476,14,77.061137
-0.928571,4,77.092468
1.190476,9,77.157477
-0.833333,8,77.216928
-0.833333,8,77.279022
-0.928571,4,77.311307
-0.904762,5,77.352234
-0.738095,12,77.45301
-0.714286,13,77.563898
-0.857143,7,77.758854
-0.809524,9,77.83155
1.214286,10,77.908926
-0.880952,6,77.953373
-9.714286,13,78.050272
-9.714286,13,78.145189
-0.928571,4,78.176056
-0.857143,7,78.230458
-0.928571,4,78.259892
-0.690476,14,78.390612
-0.785714,10,78.484971
-0.928571,4,78.523742
-0.880952,6,78.579847
-0.880952,6,78.629309
1.309524,14,78.744564
-9.619048,17,78.884068
-0.785714,10,78.97297
-0.761905,11,79.067231
1.309524,14,79.168847
-0.761905,11,79.25887
1.261905,12,79.360482
-0.714286,13,79.463678
-0.809524,9,79.538141
-0.904762,5,79.578457
-9.785714,10,79.656557
-0.857143,7,79.712222
-0.857143,7,79.768601
-0.761905,11,80.038143
-0.809524,9,80.117389
-0.857143,7,80.17311
-9.738095,12,80.264345
-9.785714,10,80.340265
-9.714286,13,80.43689
-9.714286,13,80.533907
